Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total Output
January,8011.32,1089.46,3389.13,1505.07,18.78,37.5,14051.3
February,6807.43,653.27,2998.13,1062.72,24.06,35.74,11581.4
March,7565.24,491.51,2991.24,1072.67,59.68,40.1,12220.4
April,6827.01,561.3,2683.95,968.1,57.72,36.18,11134.3
May,7138.81,392.21,3400.08,594.22,73.96,33.75,11633
June,7182.06,650.05,3162.38,615.89,71.3,32.09,11713.8
July,8025.8,1451.95,2806.92,511.6,78.4,46.91,12921.6
August,7999.54,1586.83,2599.59,560.18,67.39,36.5,12850
September,7412.09,1015,2646.64,630.62,53.56,34.75,11792.7
October,7846.76,321.47,3017.93,929.76,33.58,31.01,12180.5
November,7521.6,631.24,3183.45,1140.51,17.23,25.02,12519.1
December,7811.51,725.26,3329.06,1071.01,14.01,32.04,12982.9
,,,,,,,
